,location,iso_code,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
32,Russia,RUS,1240683.3,30.85,87.85,8573.38749872575
31,Romania,ROU,119130.1,21.09,130.82,6059.74179102276
27,Peru,PER,188586.5,76.55,210.79,5538.58390298291
25,Mexico,MEX,679123.9,50.25,167.99,5326.28984851627
10,Cuba,CUB,53645.6,25.52,194.86,4784.57479969583
5,Bolivia,BOL,58269.5,56.24,245.44,4766.7667366322
33,South Africa,ZAF,285155.7,25.24,170.7,4761.01533171567
40,Ukraine,UKR,179972.2,15.53,83.82,4533.10564896091
29,Poland,POL,174307.4,18.92,108.42,4373.30381725294
23,Kazakhstan,KAZ,84799.0,30.47,142.05,4371.53359846722
